t,p_app,p_inflex
0,0.009957,0.009957
1,0.030752,0.010455
2,0.04756,0.010978
3,0.061331,0.011527
4,0.073199,0.012103
5,0.083353,0.012708
6,0.092754,0.013343
7,0.101441,0.01401
8,0.109628,0.01471
9,0.117685,0.015446
10,0.125647,0.016217
11,0.133424,0.017028
12,0.140695,0.017879
13,0.148023,0.018773
14,0.155869,0.019711
15,0.163753,0.020697
16,0.172071,0.021732
17,0.180206,0.022819
18,0.188892,0.023958
19,0.197924,0.025156
20,0.207165,0.026414
21,0.216629,0.027735
22,0.226386,0.029122
23,0.236522,0.030575
24,0.24682,0.032103
25,0.257654,0.033708
26,0.269092,0.035392
27,0.280932,0.03716
28,0.293253,0.039017
29,0.305608,0.040967
30,0.318476,0.043016
31,0.332007,0.045166
32,0.345732,0.047423
33,0.359668,0.049792
34,0.374302,0.052281
35,0.38902,0.054893
36,0.404479,0.057632
37,0.419989,0.060511
38,0.435969,0.063536
39,0.452609,0.066711
40,0.469265,0.070042
41,0.48644,0.073542
42,0.503834,0.077213
