t,p_app,p_inflex
0,0.009951,0.009951
1,0.031234,0.010449
2,0.047789,0.010971
3,0.061734,0.01152
4,0.073514,0.012096
5,0.083841,0.012701
6,0.093063,0.013336
7,0.102077,0.014003
8,0.110424,0.014703
9,0.117957,0.015437
10,0.125472,0.016208
11,0.133039,0.017017
12,0.140585,0.017867
13,0.148272,0.018761
14,0.155963,0.019699
15,0.164115,0.020683
16,0.172107,0.021717
17,0.180571,0.022803
18,0.189212,0.023942
19,0.198136,0.025139
20,0.207301,0.026396
21,0.216445,0.027711
22,0.226564,0.029096
23,0.236801,0.030551
24,0.247307,0.032076
25,0.257993,0.03368
26,0.269282,0.035363
27,0.281197,0.037131
28,0.292848,0.038987
29,0.304905,0.040936
30,0.317664,0.042982
31,0.330665,0.045132
32,0.34422,0.047386
33,0.358329,0.049754
34,0.373083,0.052242
35,0.387758,0.054853
36,0.403079,0.05759
37,0.418857,0.060466
38,0.435054,0.063485
39,0.451474,0.066661
40,0.468069,0.069992
41,0.485204,0.073491
42,0.502921,0.07716
