t,p_app,p_inflex
0,0.009949,0.009949
1,0.030774,0.010446
2,0.047738,0.010968
3,0.061834,0.011516
4,0.073514,0.012092
5,0.083856,0.012697
6,0.093066,0.013331
7,0.10179,0.013997
8,0.109944,0.014697
9,0.117709,0.015432
10,0.125209,0.016204
11,0.132757,0.017014
12,0.140361,0.017865
13,0.147996,0.018758
14,0.155576,0.019694
15,0.163772,0.020679
16,0.171936,0.021712
17,0.180316,0.022796
18,0.188849,0.023935
19,0.197948,0.025132
20,0.206796,0.026389
21,0.216267,0.027709
22,0.226245,0.029093
23,0.236564,0.030546
24,0.247233,0.032073
25,0.257819,0.033676
26,0.268813,0.035358
27,0.280588,0.037126
28,0.292745,0.03898
29,0.305162,0.040928
30,0.318011,0.042975
31,0.33109,0.045123
32,0.345146,0.047378
33,0.359068,0.049746
34,0.373446,0.052232
35,0.388157,0.05484
36,0.403354,0.057578
37,0.418967,0.060457
38,0.434643,0.063479
39,0.451116,0.066652
40,0.467981,0.069986
41,0.485062,0.073481
42,0.502465,0.077148
