t,p_app,p_inflex
0,0.009958,0.009958
1,0.031172,0.010455
2,0.047824,0.010978
3,0.061756,0.011527
4,0.073771,0.012103
5,0.083932,0.012708
6,0.093314,0.013343
7,0.101794,0.01401
8,0.110203,0.014711
9,0.11791,0.015447
10,0.12542,0.016218
11,0.133,0.017029
12,0.140288,0.017881
13,0.147871,0.018774
14,0.155693,0.019713
15,0.16345,0.020698
16,0.171292,0.021733
17,0.179789,0.022819
18,0.188328,0.02396
19,0.196979,0.025158
20,0.206172,0.026416
21,0.215728,0.027737
22,0.225675,0.029122
23,0.235686,0.030577
24,0.246307,0.032105
25,0.25727,0.033709
26,0.268126,0.035394
27,0.279442,0.037157
28,0.291536,0.039013
29,0.304352,0.040962
30,0.317397,0.043008
31,0.330437,0.045158
32,0.344362,0.047415
33,0.358443,0.049782
34,0.373043,0.052271
35,0.387894,0.054885
36,0.403056,0.057629
37,0.418438,0.060507
38,0.434595,0.063531
39,0.451178,0.066707
40,0.46794,0.070038
41,0.484777,0.073533
42,0.502215,0.077207
