t,p_app,p_inflex
0,0.009947,0.009947
1,0.030908,0.010444
2,0.047641,0.010966
3,0.061572,0.011514
4,0.07297,0.01209
5,0.083398,0.012694
6,0.092752,0.013329
7,0.101346,0.013995
8,0.109667,0.014695
9,0.117437,0.01543
10,0.125134,0.016202
11,0.132521,0.017011
12,0.139859,0.017862
13,0.147692,0.018755
14,0.155576,0.019692
15,0.163489,0.020677
16,0.171645,0.021711
17,0.179853,0.022797
18,0.18848,0.023936
19,0.197315,0.025133
20,0.206812,0.026388
21,0.21624,0.027708
22,0.225974,0.029092
23,0.236048,0.030547
24,0.246261,0.032075
25,0.257409,0.033678
26,0.268731,0.035361
27,0.28012,0.037126
28,0.292432,0.038983
29,0.304751,0.040931
30,0.317749,0.042976
31,0.330829,0.045126
32,0.344556,0.047381
33,0.358493,0.049749
34,0.373106,0.052235
35,0.388105,0.054843
36,0.403623,0.057584
37,0.419297,0.06046
38,0.435579,0.06348
39,0.451957,0.066652
40,0.469077,0.069983
41,0.486073,0.073475
42,0.503629,0.077144
