t,p_app,p_inflex
0,0.00995,0.00995
1,0.030818,0.010448
2,0.047428,0.01097
3,0.06143,0.011518
4,0.07344,0.012094
5,0.083604,0.012699
6,0.093205,0.013334
7,0.101831,0.014001
8,0.110165,0.014701
9,0.117939,0.015435
10,0.125701,0.016206
11,0.133113,0.017016
12,0.140661,0.017867
13,0.148129,0.01876
14,0.155803,0.019698
15,0.163965,0.020682
16,0.171957,0.021715
17,0.180165,0.0228
18,0.188681,0.023938
19,0.197505,0.025133
20,0.206818,0.02639
21,0.21615,0.027709
22,0.226074,0.029095
23,0.236241,0.03055
24,0.246715,0.032078
25,0.257842,0.033681
26,0.268563,0.035366
27,0.280168,0.037135
28,0.292153,0.038992
29,0.304656,0.040936
30,0.317467,0.042983
31,0.330867,0.04513
32,0.344748,0.047387
33,0.359043,0.049754
34,0.373537,0.052241
35,0.388458,0.054848
36,0.403812,0.057591
37,0.419464,0.060466
38,0.435646,0.063486
39,0.452088,0.066658
40,0.468886,0.069988
41,0.485661,0.073485
42,0.502906,0.077155
