t,p_app,p_inflex
0,0.009952,0.009952
1,0.030669,0.01045
2,0.047392,0.010972
3,0.061021,0.01152
4,0.073034,0.012096
5,0.083698,0.012701
6,0.09318,0.013336
7,0.101612,0.014003
8,0.10962,0.014703
9,0.117471,0.015437
10,0.124976,0.016209
11,0.132557,0.01702
12,0.140098,0.017871
13,0.147555,0.018765
14,0.155087,0.019703
15,0.163044,0.020688
16,0.171587,0.02172
17,0.179808,0.022805
18,0.188457,0.023945
19,0.19724,0.025142
20,0.206357,0.026399
21,0.215789,0.027719
22,0.225551,0.029105
23,0.235904,0.03056
24,0.246614,0.032086
25,0.257628,0.033691
26,0.268887,0.035376
27,0.280322,0.037143
28,0.292383,0.038999
29,0.304745,0.040947
30,0.317797,0.042993
31,0.331055,0.045141
32,0.344849,0.047395
33,0.35891,0.049761
34,0.373412,0.052246
35,0.388476,0.054856
36,0.403932,0.0576
37,0.419579,0.060475
38,0.435819,0.063497
39,0.45224,0.06666
40,0.468958,0.069994
41,0.486347,0.073491
42,0.50369,0.077164
