t,p_app,p_inflex
0,0.009955,0.009955
1,0.031164,0.010452
2,0.047981,0.010975
3,0.061884,0.011524
4,0.073461,0.0121
5,0.083769,0.012705
6,0.093376,0.013338
7,0.101876,0.014004
8,0.109978,0.014704
9,0.117593,0.015439
10,0.125271,0.016211
11,0.132895,0.017021
12,0.140515,0.017872
13,0.148044,0.018765
14,0.155625,0.019704
15,0.163555,0.02069
16,0.171854,0.021725
17,0.180004,0.022812
18,0.188455,0.023953
19,0.197338,0.025149
20,0.206154,0.026407
21,0.215642,0.027725
22,0.225676,0.02911
23,0.235812,0.030565
24,0.246133,0.032092
25,0.257186,0.033693
26,0.268374,0.035378
27,0.279974,0.037147
28,0.291772,0.039003
29,0.303862,0.040951
30,0.316547,0.042999
31,0.329693,0.045148
32,0.343589,0.047405
33,0.357949,0.049776
34,0.372756,0.052264
35,0.387871,0.054875
36,0.403304,0.057616
37,0.419123,0.060497
38,0.435229,0.06352
39,0.45162,0.066694
40,0.468208,0.070029
41,0.485519,0.073529
42,0.503059,0.0772
