t,p_app,p_inflex
0,0.00995,0.00995
1,0.030932,0.010448
2,0.047663,0.01097
3,0.061552,0.011518
4,0.073231,0.012092
5,0.083918,0.012697
6,0.093215,0.013332
7,0.10185,0.013999
8,0.110006,0.014698
9,0.118114,0.015433
10,0.125399,0.016205
11,0.1328,0.017015
12,0.140183,0.017865
13,0.148218,0.018758
14,0.155787,0.019696
15,0.163511,0.02068
16,0.171585,0.021713
17,0.17985,0.022798
18,0.1884,0.023937
19,0.197355,0.025131
20,0.206511,0.026387
21,0.215926,0.027707
22,0.225824,0.029093
23,0.235917,0.030543
24,0.246567,0.032071
25,0.257301,0.033672
26,0.26861,0.035354
27,0.279862,0.037123
28,0.291789,0.038979
29,0.304068,0.040927
30,0.317126,0.042973
31,0.330479,0.045119
32,0.344145,0.047373
33,0.358074,0.04974
34,0.372338,0.052227
35,0.387332,0.054832
36,0.402442,0.057574
37,0.418736,0.060452
38,0.434827,0.063472
39,0.45115,0.066642
40,0.468112,0.06997
41,0.485344,0.073468
42,0.502613,0.077142
