t,p_app,p_inflex
0,0.00995,0.00995
1,0.031199,0.010448
2,0.048295,0.010969
3,0.062088,0.011517
4,0.073814,0.012093
5,0.084209,0.012698
6,0.093509,0.013332
7,0.102212,0.013999
8,0.110107,0.014699
9,0.117859,0.015434
10,0.125631,0.016206
11,0.133165,0.017016
12,0.140774,0.017867
13,0.148249,0.01876
14,0.156006,0.019698
15,0.163868,0.020682
16,0.171912,0.021715
17,0.180194,0.022801
18,0.188803,0.023941
19,0.19766,0.025138
20,0.206977,0.026395
21,0.216216,0.027715
22,0.226275,0.029099
23,0.236557,0.030554
24,0.247019,0.032081
25,0.257817,0.033684
26,0.269021,0.035368
27,0.280841,0.037136
28,0.293077,0.038993
29,0.30525,0.040943
30,0.318192,0.042989
31,0.331714,0.045136
32,0.345457,0.047392
33,0.359481,0.049759
34,0.373778,0.052247
35,0.388558,0.054854
36,0.403833,0.057591
37,0.419626,0.060469
38,0.435623,0.063485
39,0.452165,0.066655
40,0.469008,0.069986
41,0.486016,0.073484
42,0.503981,0.077155
