t,p_app,p_inflex
0,0.009956,0.009956
1,0.031137,0.010454
2,0.047901,0.010977
3,0.061815,0.011526
4,0.07355,0.012102
5,0.083696,0.012707
6,0.093064,0.013341
7,0.102024,0.014008
8,0.110046,0.014707
9,0.117606,0.015442
10,0.125235,0.016214
11,0.132578,0.017024
12,0.140171,0.017875
13,0.147989,0.018769
14,0.155665,0.019707
15,0.163465,0.020693
16,0.171529,0.021727
17,0.180029,0.022813
18,0.18858,0.023953
19,0.197139,0.025151
20,0.206099,0.026409
21,0.215499,0.027728
22,0.225305,0.029115
23,0.235549,0.030569
24,0.246163,0.032098
25,0.256952,0.033701
26,0.268157,0.035385
27,0.280062,0.037154
28,0.292184,0.039011
29,0.305003,0.040962
30,0.317808,0.043008
31,0.331202,0.045156
32,0.344908,0.047415
33,0.359144,0.049785
34,0.373828,0.052268
35,0.388536,0.054878
36,0.403866,0.057621
37,0.419673,0.0605
38,0.435297,0.063521
39,0.451705,0.066697
40,0.468617,0.07003
41,0.485381,0.073528
42,0.503081,0.077196
