t,p_app,p_inflex
0,0.009953,0.009953
1,0.031078,0.01045
2,0.0479,0.010973
3,0.061866,0.011522
4,0.07347,0.012098
5,0.08367,0.012703
6,0.093325,0.013337
7,0.10199,0.014003
8,0.110025,0.014703
9,0.118056,0.015437
10,0.125471,0.016208
11,0.132928,0.017017
12,0.140577,0.017868
13,0.148277,0.018761
14,0.156091,0.019698
15,0.164014,0.020683
16,0.171844,0.021717
17,0.179891,0.022803
18,0.188384,0.023943
19,0.197489,0.02514
20,0.206607,0.026398
21,0.216049,0.027717
22,0.225734,0.029103
23,0.235815,0.030557
24,0.246488,0.032086
25,0.2572,0.03369
26,0.26838,0.035374
27,0.280162,0.037143
28,0.2919,0.039
29,0.304549,0.04095
30,0.317672,0.042996
31,0.331013,0.045145
32,0.344425,0.0474
33,0.358883,0.049768
34,0.373532,0.052255
35,0.388546,0.054865
36,0.403913,0.057609
37,0.419386,0.060485
38,0.435797,0.063502
39,0.45229,0.066676
40,0.469193,0.070006
41,0.486446,0.073502
42,0.503868,0.077172
