t,p_app,p_inflex
0,0.009958,0.009958
1,0.031266,0.010456
2,0.047851,0.010978
3,0.06167,0.011527
4,0.073467,0.012103
5,0.084001,0.012708
6,0.093532,0.013342
7,0.102304,0.014008
8,0.110347,0.014709
9,0.118067,0.015445
10,0.125729,0.016216
11,0.132961,0.017027
12,0.140645,0.017879
13,0.14831,0.018772
14,0.155944,0.019711
15,0.163718,0.020696
16,0.171768,0.021727
17,0.180083,0.022814
18,0.188786,0.023955
19,0.197706,0.025152
20,0.206782,0.026407
21,0.215983,0.027727
22,0.225429,0.02911
23,0.235534,0.030565
24,0.24622,0.032094
25,0.257177,0.0337
26,0.268164,0.035386
27,0.279871,0.037155
28,0.291661,0.039012
29,0.304173,0.040964
30,0.31723,0.043012
31,0.330472,0.045163
32,0.344391,0.047421
33,0.358649,0.04979
34,0.37304,0.052279
35,0.387846,0.054892
36,0.402801,0.057636
37,0.418437,0.060514
38,0.434483,0.063536
39,0.450949,0.06671
40,0.467862,0.070041
41,0.485264,0.073542
42,0.50242,0.077211
