t,p_app,p_inflex
0,0.009948,0.009948
1,0.030986,0.010445
2,0.047829,0.010967
3,0.061547,0.011514
4,0.07339,0.01209
5,0.083756,0.012695
6,0.093044,0.01333
7,0.101696,0.013996
8,0.109663,0.014696
9,0.117567,0.015431
10,0.125085,0.016202
11,0.132244,0.017011
12,0.139798,0.017861
13,0.147613,0.018753
14,0.155243,0.01969
15,0.163131,0.020675
16,0.171034,0.021708
17,0.179735,0.022794
18,0.188311,0.023933
19,0.197049,0.02513
20,0.206174,0.026387
21,0.215553,0.027707
22,0.225393,0.029093
23,0.235527,0.030546
24,0.245675,0.032073
25,0.256808,0.033675
26,0.268073,0.035358
27,0.279659,0.037125
28,0.291496,0.038982
29,0.304214,0.04093
30,0.317072,0.042975
31,0.330592,0.045119
32,0.344088,0.047375
33,0.358453,0.049744
34,0.373018,0.052229
35,0.387989,0.054836
36,0.403465,0.057578
37,0.419233,0.060453
38,0.435656,0.063471
39,0.451992,0.06664
40,0.468842,0.069966
41,0.485725,0.07346
42,0.502931,0.077132
