t,p_app,p_inflex
0,0.00995,0.00995
1,0.031177,0.010448
2,0.047868,0.01097
3,0.061656,0.011518
4,0.073415,0.012094
5,0.083846,0.012699
6,0.093322,0.013334
7,0.101638,0.014001
8,0.109955,0.014701
9,0.117779,0.015436
10,0.125596,0.016208
11,0.133448,0.017017
12,0.140789,0.017868
13,0.148228,0.018761
14,0.155943,0.019699
15,0.163906,0.020684
16,0.171739,0.021718
17,0.180124,0.022804
18,0.188514,0.023943
19,0.197711,0.02514
20,0.206792,0.026397
21,0.216284,0.027716
22,0.226083,0.029101
23,0.236286,0.030556
24,0.247215,0.032082
25,0.257954,0.033686
26,0.268911,0.03537
27,0.280589,0.037139
28,0.292406,0.038996
29,0.304838,0.040944
30,0.317745,0.042991
31,0.331065,0.04514
32,0.344388,0.047397
33,0.358353,0.049764
34,0.372936,0.052248
35,0.387497,0.054858
36,0.402351,0.057599
37,0.418104,0.060477
38,0.434031,0.063498
39,0.450267,0.066668
40,0.466983,0.069995
41,0.484255,0.073491
42,0.501746,0.077163
