t,p_app,p_inflex
0,0.009947,0.009947
1,0.030789,0.010443
2,0.047584,0.010964
3,0.061271,0.011512
4,0.073122,0.012087
5,0.083686,0.012691
6,0.093167,0.013326
7,0.101971,0.013991
8,0.109943,0.01469
9,0.117686,0.015425
10,0.125241,0.016196
11,0.132728,0.017005
12,0.140217,0.017856
13,0.147885,0.018749
14,0.15577,0.019686
15,0.163622,0.02067
16,0.171504,0.021701
17,0.179756,0.022787
18,0.188544,0.023927
19,0.197828,0.025123
20,0.206871,0.02638
21,0.216279,0.0277
22,0.22586,0.029086
23,0.236182,0.030541
24,0.246566,0.032068
25,0.257154,0.033671
26,0.268699,0.035354
27,0.280287,0.037122
28,0.292607,0.038979
29,0.304649,0.040928
30,0.3177,0.042974
31,0.330856,0.04512
32,0.344561,0.047371
33,0.359083,0.049737
34,0.37381,0.052218
35,0.388348,0.054829
36,0.403447,0.057569
37,0.419191,0.060446
38,0.435701,0.063464
39,0.452023,0.066635
40,0.468591,0.069965
41,0.486355,0.073458
42,0.503827,0.077125
