t,p_app,p_inflex
0,0.024691,0.024691
1,0.074869,0.025925
2,0.114828,0.027219
3,0.147395,0.028579
4,0.174592,0.030005
5,0.198333,0.031505
6,0.219157,0.03308
7,0.238032,0.034732
8,0.255376,0.036466
9,0.271831,0.038289
10,0.287341,0.040202
11,0.303063,0.042211
12,0.318525,0.044321
13,0.333861,0.046535
14,0.349218,0.048859
15,0.364503,0.051299
16,0.380235,0.05386
17,0.396135,0.056551
18,0.412141,0.059378
19,0.42827,0.062347
20,0.444932,0.065461
21,0.462042,0.068733
22,0.478957,0.072164
23,0.496098,0.075767
24,0.51384,0.07955
