t,p_app,p_inflex
0,0.024706,0.024706
1,0.075289,0.025941
2,0.115342,0.027235
3,0.147392,0.028595
4,0.174708,0.030025
5,0.198657,0.031527
6,0.219776,0.033103
7,0.238406,0.034758
8,0.25582,0.036494
9,0.272232,0.038318
10,0.287977,0.040233
11,0.303477,0.042243
12,0.318775,0.044356
13,0.333842,0.046568
14,0.349155,0.048895
15,0.364529,0.051339
16,0.380426,0.053904
17,0.395956,0.056595
18,0.412165,0.05942
19,0.429012,0.06239
20,0.445891,0.065503
21,0.462714,0.068776
22,0.479848,0.07221
23,0.497211,0.075815
24,0.514736,0.079596
