t,p_app,p_inflex
0,0.024674,0.024674
1,0.075566,0.025906
2,0.115495,0.027201
3,0.147297,0.02856
4,0.174051,0.029987
5,0.197463,0.031487
6,0.218327,0.03306
7,0.237206,0.03471
8,0.254709,0.036445
9,0.271197,0.038266
10,0.286921,0.040176
11,0.30259,0.042185
12,0.318106,0.044294
13,0.333258,0.046507
14,0.348657,0.048828
15,0.363954,0.05127
16,0.379344,0.053833
17,0.395212,0.056525
18,0.411425,0.059347
19,0.427971,0.062304
20,0.444685,0.065417
21,0.461675,0.068686
22,0.478445,0.072119
23,0.495952,0.075716
24,0.51373,0.079497
