t,p_app,p_inflex
0,0.024705,0.024705
1,0.076182,0.025939
2,0.115838,0.027236
3,0.147332,0.028595
4,0.173963,0.030025
5,0.197645,0.031525
6,0.218254,0.0331
7,0.237454,0.034754
8,0.2551,0.036492
9,0.271353,0.038314
10,0.287252,0.040228
11,0.302901,0.042237
12,0.318236,0.044349
13,0.333501,0.046564
14,0.348658,0.048891
15,0.364098,0.051333
16,0.379721,0.053898
17,0.395156,0.05659
18,0.411199,0.059416
19,0.427529,0.062386
20,0.44418,0.065504
21,0.460988,0.068778
22,0.478032,0.072214
23,0.495893,0.075821
24,0.513684,0.079606
