t,p_app,p_inflex
0,0.024695,0.024695
1,0.075731,0.025929
2,0.115461,0.027224
3,0.147649,0.028585
4,0.174569,0.030012
5,0.198117,0.031511
6,0.218522,0.033087
7,0.237727,0.034741
8,0.254926,0.036477
9,0.272051,0.0383
10,0.288101,0.040215
11,0.303968,0.042223
12,0.318831,0.044333
13,0.334114,0.046544
14,0.349531,0.048872
15,0.364465,0.051313
16,0.380283,0.053876
17,0.395416,0.056561
18,0.41188,0.059387
19,0.428245,0.062351
20,0.444829,0.065468
21,0.461726,0.068739
22,0.479104,0.072177
23,0.496277,0.075783
24,0.514252,0.079564
