t,p_app,p_inflex
0,0.024686,0.024686
1,0.075422,0.025919
2,0.115769,0.027211
3,0.148452,0.028572
4,0.175277,0.030001
5,0.198849,0.0315
6,0.219583,0.033075
7,0.238203,0.034728
8,0.255627,0.036462
9,0.272122,0.038284
10,0.287668,0.040199
11,0.302735,0.042209
12,0.317895,0.044319
13,0.333085,0.046533
14,0.348399,0.048859
15,0.363902,0.051301
16,0.379709,0.053866
17,0.395336,0.056553
18,0.411642,0.059378
19,0.427833,0.06234
20,0.444448,0.065452
21,0.461112,0.068719
22,0.478331,0.072153
23,0.496003,0.075759
24,0.513655,0.079546
