t,p_app,p_inflex
0,0.024676,0.024676
1,0.07516,0.025909
2,0.115279,0.027205
3,0.147397,0.028563
4,0.174653,0.02999
5,0.19794,0.031488
6,0.218565,0.033061
7,0.237239,0.034714
8,0.254552,0.036448
9,0.270718,0.03827
10,0.286143,0.040182
11,0.301623,0.042188
12,0.31719,0.044298
13,0.332872,0.04651
14,0.348149,0.048831
15,0.363146,0.051271
16,0.378962,0.05383
17,0.394852,0.056522
18,0.410708,0.059347
19,0.427002,0.062312
20,0.443476,0.065425
21,0.460337,0.068695
22,0.477596,0.072126
23,0.495011,0.075724
24,0.512742,0.079511
