t,p_app,p_inflex
0,0.024677,0.024677
1,0.075536,0.025911
2,0.11555,0.027207
3,0.14837,0.028566
4,0.175392,0.029993
5,0.198736,0.031493
6,0.219142,0.033067
7,0.237394,0.034721
8,0.254896,0.036457
9,0.271429,0.038279
10,0.287355,0.04019
11,0.30293,0.0422
12,0.318346,0.044309
13,0.333615,0.046523
14,0.349362,0.048849
15,0.36489,0.051288
16,0.380474,0.05385
17,0.395879,0.056538
18,0.411831,0.059358
19,0.428171,0.062325
20,0.44463,0.065436
21,0.461455,0.068707
22,0.47876,0.072139
23,0.49639,0.075737
24,0.514368,0.079521
