t,p_app,p_inflex
0,0.024691,0.024691
1,0.075459,0.025926
2,0.115137,0.027222
3,0.147071,0.028583
4,0.174222,0.030009
5,0.197559,0.03151
6,0.218325,0.033085
7,0.237015,0.034736
8,0.254541,0.036473
9,0.271058,0.038294
10,0.286828,0.040209
11,0.302368,0.042216
12,0.317662,0.044324
13,0.332871,0.046539
14,0.348508,0.048866
15,0.363939,0.05131
16,0.379434,0.053876
17,0.395385,0.056564
18,0.411821,0.059389
19,0.427561,0.062353
20,0.444113,0.06547
21,0.461191,0.068741
22,0.478684,0.072174
23,0.496001,0.075773
24,0.513481,0.079555
