t,p_app,p_inflex
0,0.024677,0.024677
1,0.076301,0.025911
2,0.115649,0.027205
3,0.148115,0.028564
4,0.175338,0.029989
5,0.198634,0.031485
6,0.219097,0.03306
7,0.2382,0.034713
8,0.255401,0.036448
9,0.271869,0.038271
10,0.28748,0.040183
11,0.303179,0.042188
12,0.318396,0.044295
13,0.333312,0.046509
14,0.348365,0.048833
15,0.363979,0.051274
16,0.379581,0.053837
17,0.3954,0.056525
18,0.411794,0.059349
19,0.428073,0.062316
20,0.44445,0.06543
21,0.461079,0.068696
22,0.478576,0.07213
23,0.49626,0.075729
24,0.513952,0.07951
