t,p_app,p_inflex
0,0.024678,0.024678
1,0.075549,0.025911
2,0.115412,0.027206
3,0.147968,0.028564
4,0.174682,0.02999
5,0.197819,0.031489
6,0.218317,0.033064
7,0.237126,0.034715
8,0.254502,0.03645
9,0.271171,0.038273
10,0.286792,0.040185
11,0.302126,0.042193
12,0.317397,0.044299
13,0.332496,0.046509
14,0.347894,0.048835
15,0.363354,0.051278
16,0.37925,0.053842
17,0.395169,0.056531
18,0.411341,0.059355
19,0.427659,0.062321
20,0.444399,0.065434
21,0.461301,0.068704
22,0.478496,0.072138
23,0.496299,0.075744
24,0.514073,0.079527
