t,p_app,p_inflex
0,0.024714,0.024714
1,0.075805,0.02595
2,0.115559,0.027248
3,0.147666,0.02861
4,0.175295,0.030039
5,0.198538,0.031539
6,0.219051,0.033115
7,0.238084,0.034771
8,0.255293,0.036506
9,0.271664,0.03833
10,0.287441,0.040243
11,0.302977,0.042253
12,0.318027,0.044364
13,0.333167,0.046583
14,0.348592,0.048908
15,0.363928,0.05135
16,0.379263,0.053912
17,0.395379,0.056604
18,0.411383,0.059433
19,0.427764,0.062403
20,0.444278,0.065518
21,0.461272,0.068789
22,0.479015,0.072228
23,0.49659,0.075841
24,0.514334,0.079633
