t,p_app,p_inflex
0,0.02471,0.02471
1,0.075654,0.025946
2,0.114957,0.027242
3,0.147282,0.028603
4,0.174479,0.03003
5,0.197977,0.031532
6,0.218739,0.033108
7,0.23746,0.034763
8,0.255013,0.036501
9,0.271531,0.038323
10,0.28734,0.040238
11,0.302989,0.042248
12,0.317973,0.044359
13,0.333116,0.046575
14,0.348247,0.048904
15,0.363582,0.051348
16,0.37924,0.053914
17,0.394925,0.056605
18,0.411334,0.059434
19,0.42724,0.062406
20,0.443762,0.065523
21,0.460937,0.068796
22,0.478008,0.072231
23,0.495369,0.075839
24,0.513557,0.079628
