t,p_app,p_inflex
0,0.024696,0.024696
1,0.075296,0.02593
2,0.115337,0.027225
3,0.14736,0.028585
4,0.17414,0.030014
5,0.197473,0.031515
6,0.217955,0.033088
7,0.236568,0.034743
8,0.254306,0.036481
9,0.27092,0.038305
10,0.287002,0.040219
11,0.302661,0.042229
12,0.318298,0.04434
13,0.333587,0.046555
14,0.348753,0.04888
15,0.363838,0.051319
16,0.379523,0.053884
17,0.395418,0.056578
18,0.411368,0.059404
19,0.427731,0.062375
20,0.444227,0.06549
21,0.46151,0.068759
22,0.478698,0.07219
23,0.496253,0.075792
24,0.514119,0.079577
