t,p_app,p_inflex
0,0.0247,0.0247
1,0.075354,0.025935
2,0.115028,0.027231
3,0.147442,0.028592
4,0.1745,0.030022
5,0.198198,0.031519
6,0.218818,0.033095
7,0.237345,0.034748
8,0.254736,0.036485
9,0.271415,0.038309
10,0.287302,0.040225
11,0.30305,0.042235
12,0.318192,0.044346
13,0.33341,0.046564
14,0.348993,0.04889
15,0.364715,0.051329
16,0.380431,0.053891
17,0.396136,0.056584
18,0.412277,0.059413
19,0.428822,0.062379
20,0.445385,0.065495
21,0.462472,0.068765
22,0.479439,0.0722
23,0.496924,0.075802
24,0.514547,0.079586
